id,questions,length
627,国内那些企业被美国纳入实体清单,15
628,国内那些企业或高校被美国纳入与中国军方有关的黑名单,25
629,国内发票电子化有那些进展,12
630,国内治理污染有那些进展,11
631,英国通信公司OneWeb的相关新闻,17
632,国内磁悬浮列车有那些进展,12
633,近年美国西点军校发生过丑闻吗,14
634,马拉多纳死亡的原因是什么,12
635,国内高空抛物入刑后发生了那些相关案件,18
636,荣耀和华为分家的发展如何,12
637,国内对于基础研究有那些进展和举措,16
638,国内高校对拔尖人才有那些培养举措,16
639,美国篮球明星乔丹和国内乔丹体育的官司结果如何,22
640,民法典给我们带来什么,10
641,福布斯富豪榜出现那些变动,12
642,特朗普被那些社交平台封禁账号,14
643,科兴疫苗进入了那些国家和地区,14
644,苹果公司的汽车制造有那些进展,14
645,RCEP在国内外有那些进展,13
646,近年那些华人学者被美国政府起诉或逮捕,18
647,美国总统拜登就职后有那些重大举措,16
648,第七次人口普查结果情况如何,13
649,国内反剽窃基金有那些进展,12
650,近年国内明星有那些大的负面新闻,15
651,特朗普在卸任后有那些活动和宣言,15
652,国家就鼓励三胎有那些举措,12
653,云南孙小果案有那些进展,11
654,英国实施BNO签证政策后中国有那些应对,19
